S. No.,City,Gender,Marital Status,Age,Education,Role,Number of investors in family,Household Income,Percentage of Investment,Source of Awareness about Investment,Knowledge level about different investment product,Knowledge level about sharemarket,Knowledge about Govt. Schemes,Investment Influencer,Investment Experience,Risk Level,Return Earned,Reason for Investment
579,Memphis,Men,Never Married,Children,Uneducated,Computer and Information System Executive,2,US$ 19146 to US$ 24615,Don't Want to Reveal,Others,8,8,5,Friends Reference,Above 9 Years,Medium,5 to 6,Return
580,San Francisco,Women,Never Married,Elderly,Teritary,Training and Development Executive,4,US$ 19146 to US$ 24615,21% to 25%,Workers,9,5,3,Others,Above 9 Years,High,10 to 12 ,Fun and Exitement
581,New York,Men,Married,Mature Working,Middle,Computer and Information System Executive,4,US$ 24616 to US$ 30085,16% to 20%,Family,5,10,6,Workers Reference,7 Years to 9 Years,Low,Negative Return,Return
582,San Francisco,Men,Never Married,Early Working,Teritary,Computer and Information System Executive,1,US$ 2736 to US$ 8205,11% to 15%,Workers,5,10,3,Friends Reference,Less Than 1 Year,Medium,1 to 4,Status
583,Memphis,Women,Married,Elderly,Primary,Training and Development Executive,2,US$ 13676 to US$ 19145,Don't Want to Reveal,Others,6,1,2,Workers Reference,4 Years to 6 Years,Low,1 to 4,Others
584,New York,Men,Never Married,Elderly,Uneducated,Advertising and Promotion Executive,5,US$ 8206 to US$ 13675,16% to 20%,Magazine,2,1,5,Others,4 Years to 6 Years,High,7 to 9,Return
585,New York,Men,Married,Elderly,Middle,Training and Development Executive,5,US$ 2736 to US$ 8205,11% to 15%,Workers,3,1,1,Intermediaries,Less Than 1 Year,Low,More than 13,Status
586,Memphis,Women,Never Married,Elderly,Teritary,Advertising and Promotion Executive,2,US$ 24616 to US$ 30085,Above 26%,Flash Board,9,2,2,Social Media,Above 9 Years,Low,7 to 9,Fun and Exitement
587,San Francisco,Women,Never Married,Children,Teritary,Advertising and Promotion Executive,1,US$ 2736 to US$ 8205,21% to 25%,Friends,6,6,6,Social Media,1 Year to 3 Years,High,Negative Return,Others
588,Seattle,Women,Never Married,Elderly,Secondary,Advertising and Promotion Executive,2,US$ 2735,Above 26%,Workers,10,5,4,Friends Reference,Above 9 Years,High,More than 13,Inflation
589,Memphis,Women,Married,Early Working,Teritary,Advertising and Promotion Executive,5,Above US$ 30086,6% to 10%,Others,4,7,3,Others,1 Year to 3 Years,High,1 to 4,Return
590,New York,Women,Never Married,Elderly,Uneducated,Training and Development Executive,3,US$ 2736 to US$ 8205,6% to 10%,Others,3,8,3,Intermediaries,Above 9 Years,Medium,7 to 9,Status
591,New York,Women,Married,Prime Working,Primary,Top Executives,1,US$ 2736 to US$ 8205,6% to 10%,Family,6,10,6,Workers Reference,Less Than 1 Year,Medium,5 to 6,Tax
592,Memphis,Women,Married,Elderly,Uneducated,Marketing and Sales Executive,3,US$ 24616 to US$ 30085,16% to 20%,Flash Board,1,3,4,Friends Reference,4 Years to 6 Years,Medium,1 to 4,Others
593,New York,Men,Married,Prime Working,Primary,Top Executives,3,US$ 8206 to US$ 13675,Don't Want to Reveal,Flash Board,9,4,4,Institutions,7 Years to 9 Years,Low,7 to 9,Return
594,Houston,Women,Married,Elderly,Secondary,Training and Development Executive,2,Above US$ 30086,6% to 10%,Flash Board,10,3,1,Friends Reference,Above 9 Years,High,10 to 12 ,Inflation
595,Memphis,Men,Never Married,Elderly,Primary,Training and Development Executive,2,Above US$ 30086,16% to 20%,Magazine,1,1,3,Institutions,1 Year to 3 Years,Medium,10 to 12 ,Inflation
596,Houston,Men,Married,Elderly,Teritary,Advertising and Promotion Executive,2,US$ 13676 to US$ 19145,16% to 20%,Others,8,8,2,Social Media,Above 9 Years,High,More than 13,Return
597,New York,Men,Married,Elderly,Primary,Marketing and Sales Executive,4,US$ 24616 to US$ 30085,6% to 10%,Friends,3,9,4,Family Reference,4 Years to 6 Years,High,10 to 12 ,Status
598,New York,Men,Never Married,Prime Working,Uneducated,Training and Development Executive,4,US$ 2735,Above 26%,Workers,1,10,1,Institutions,1 Year to 3 Years,Medium,Negative Return,Inflation
599,San Francisco,Men,Never Married,Early Working,Primary,Advertising and Promotion Executive,4,US$ 24616 to US$ 30085,11% to 15%,Television,9,6,3,Social Media,1 Year to 3 Years,Medium,More than 13,Others
600,Seattle,Women,Never Married,Children,Middle,Computer and Information System Executive,3,US$ 2735,11% to 15%,Friends,5,6,5,Family Reference,Less Than 1 Year,Low,1 to 4,Status
601,Houston,Men,Married,Mature Working,Primary,Top Executives,3,US$ 13676 to US$ 19145,Above 26%,Flash Board,7,1,6,Social Media,7 Years to 9 Years,Low,1 to 4,Others
602,New York,Women,Never Married,Elderly,Middle,Top Executives,2,US$ 2735,Upto 5%,Others,1,5,6,Intermediaries,4 Years to 6 Years,Low,More than 13,Others
603,Memphis,Men,Married,Children,Primary,Computer and Information System Executive,4,US$ 2736 to US$ 8205,16% to 20%,Others,5,6,2,Family Reference,4 Years to 6 Years,High,10 to 12 ,Inflation
604,Memphis,Men,Never Married,Elderly,Teritary,Training and Development Executive,3,US$ 13676 to US$ 19145,21% to 25%,Flash Board,6,2,6,Workers Reference,Above 9 Years,High,Negative Return,Tax
605,San Francisco,Men,Married,Mature Working,Primary,Advertising and Promotion Executive,1,US$ 13676 to US$ 19145,Above 26%,Family,9,5,6,Social Media,4 Years to 6 Years,High,1 to 4,Tax
606,New York,Women,Never Married,Early Working,Teritary,Advertising and Promotion Executive,1,Above US$ 30086,21% to 25%,Friends,3,7,4,Intermediaries,Less Than 1 Year,Low,7 to 9,Status
607,San Francisco,Women,Never Married,Mature Working,Uneducated,Marketing and Sales Executive,1,US$ 8206 to US$ 13675,11% to 15%,Flash Board,10,9,4,Others,Less Than 1 Year,Low,1 to 4,Tax
608,Houston,Women,Never Married,Prime Working,Primary,Computer and Information System Executive,4,Above US$ 30086,11% to 15%,Workers,2,2,5,Institutions,Less Than 1 Year,High,10 to 12 ,Others
609,New York,Women,Never Married,Prime Working,Middle,Training and Development Executive,2,US$ 2735,Above 26%,Television,2,9,5,Workers Reference,1 Year to 3 Years,High,7 to 9,Return
610,New York,Women,Never Married,Elderly,Teritary,Training and Development Executive,4,US$ 19146 to US$ 24615,Don't Want to Reveal,Magazine,9,4,3,Intermediaries,Less Than 1 Year,High,7 to 9,Others
611,Houston,Women,Married,Mature Working,Primary,Training and Development Executive,5,US$ 2735,Upto 5%,Workers,1,3,3,Intermediaries,Above 9 Years,High,5 to 6,Tax
612,Seattle,Women,Married,Elderly,Primary,Marketing and Sales Executive,2,US$ 19146 to US$ 24615,Don't Want to Reveal,Family,4,3,5,Intermediaries,Above 9 Years,Medium,Negative Return,Inflation
613,Memphis,Men,Married,Mature Working,Uneducated,Top Executives,5,Above US$ 30086,16% to 20%,Television,1,9,4,Workers Reference,Less Than 1 Year,Low,Negative Return,Return
614,Houston,Men,Married,Prime Working,Uneducated,Top Executives,2,US$ 8206 to US$ 13675,16% to 20%,Television,5,8,2,Friends Reference,1 Year to 3 Years,Low,5 to 6,Tax
615,Memphis,Women,Never Married,Mature Working,Uneducated,Top Executives,1,US$ 24616 to US$ 30085,Upto 5%,Workers,6,9,4,Others,4 Years to 6 Years,Low,Negative Return,Inflation
616,Memphis,Women,Never Married,Early Working,Middle,Top Executives,5,US$ 2735,Above 26%,Magazine,1,9,2,Friends Reference,Less Than 1 Year,Medium,5 to 6,Return
617,Houston,Women,Never Married,Elderly,Primary,Computer and Information System Executive,3,US$ 2735,11% to 15%,Others,4,1,3,Workers Reference,Less Than 1 Year,Medium,10 to 12 ,Inflation
618,Houston,Men,Married,Elderly,Uneducated,Marketing and Sales Executive,1,US$ 2736 to US$ 8205,Above 26%,Workers,10,3,2,Workers Reference,4 Years to 6 Years,Medium,7 to 9,Return
619,New York,Women,Never Married,Prime Working,Secondary,Marketing and Sales Executive,3,US$ 8206 to US$ 13675,Don't Want to Reveal,Magazine,5,1,5,Intermediaries,Above 9 Years,High,5 to 6,Fun and Exitement
620,Houston,Women,Never Married,Prime Working,Uneducated,Computer and Information System Executive,1,US$ 8206 to US$ 13675,11% to 15%,Family,10,8,5,Institutions,Above 9 Years,High,Negative Return,Return
621,Houston,Women,Married,Elderly,Teritary,Computer and Information System Executive,1,US$ 24616 to US$ 30085,Don't Want to Reveal,Magazine,6,2,1,Family Reference,1 Year to 3 Years,High,10 to 12 ,Fun and Exitement
622,Memphis,Women,Never Married,Elderly,Middle,Training and Development Executive,1,US$ 8206 to US$ 13675,6% to 10%,Friends,1,7,4,Family Reference,4 Years to 6 Years,Medium,5 to 6,Inflation
623,New York,Women,Married,Children,Primary,Top Executives,3,US$ 2735,Don't Want to Reveal,Friends,5,2,3,Friends Reference,Less Than 1 Year,Medium,Negative Return,Others
624,Seattle,Women,Married,Mature Working,Primary,Advertising and Promotion Executive,3,US$ 24616 to US$ 30085,16% to 20%,Family,10,8,3,Intermediaries,1 Year to 3 Years,Medium,Negative Return,Tax
625,San Francisco,Men,Married,Early Working,Middle,Top Executives,1,US$ 2735,Above 26%,Television,4,7,2,Institutions,4 Years to 6 Years,Medium,Negative Return,Tax
626,New York,Men,Never Married,Early Working,Teritary,Top Executives,2,US$ 2735,11% to 15%,Others,1,5,3,Institutions,Less Than 1 Year,Medium,1 to 4,Inflation
627,Memphis,Men,Married,Mature Working,Secondary,Computer and Information System Executive,2,US$ 19146 to US$ 24615,Don't Want to Reveal,Others,10,9,2,Intermediaries,Above 9 Years,Low,1 to 4,Return
628,Houston,Women,Never Married,Children,Secondary,Advertising and Promotion Executive,4,US$ 8206 to US$ 13675,Above 26%,Workers,6,8,5,Workers Reference,7 Years to 9 Years,Low,1 to 4,Return
629,Memphis,Men,Married,Early Working,Secondary,Advertising and Promotion Executive,2,US$ 2735,11% to 15%,Friends,1,9,6,Institutions,4 Years to 6 Years,Low,1 to 4,Return
630,New York,Men,Married,Elderly,Teritary,Computer and Information System Executive,1,US$ 2736 to US$ 8205,6% to 10%,Television,9,9,1,Institutions,1 Year to 3 Years,Low,Negative Return,Tax
631,Memphis,Men,Married,Prime Working,Teritary,Training and Development Executive,1,US$ 19146 to US$ 24615,Don't Want to Reveal,Family,3,1,5,Friends Reference,7 Years to 9 Years,Medium,Negative Return,Fun and Exitement
632,Seattle,Women,Married,Mature Working,Middle,Computer and Information System Executive,3,US$ 2736 to US$ 8205,11% to 15%,Family,6,1,6,Social Media,Less Than 1 Year,Medium,More than 13,Tax
633,New York,Men,Never Married,Elderly,Uneducated,Top Executives,5,Above US$ 30086,6% to 10%,Family,3,10,1,Family Reference,Above 9 Years,High,10 to 12 ,Others
634,Seattle,Men,Married,Children,Teritary,Marketing and Sales Executive,5,US$ 8206 to US$ 13675,6% to 10%,Television,6,8,5,Others,Less Than 1 Year,Low,1 to 4,Fun and Exitement
635,New York,Men,Never Married,Children,Uneducated,Top Executives,4,US$ 19146 to US$ 24615,Above 26%,Friends,2,2,4,Workers Reference,4 Years to 6 Years,Low,10 to 12 ,Status
636,Memphis,Women,Married,Children,Secondary,Computer and Information System Executive,3,US$ 8206 to US$ 13675,11% to 15%,Television,3,3,3,Intermediaries,1 Year to 3 Years,Medium,1 to 4,Others
637,Houston,Women,Never Married,Mature Working,Primary,Top Executives,2,Above US$ 30086,Don't Want to Reveal,Friends,4,7,4,Friends Reference,Less Than 1 Year,Medium,Negative Return,Inflation
638,Houston,Men,Never Married,Elderly,Middle,Marketing and Sales Executive,4,US$ 24616 to US$ 30085,21% to 25%,Family,10,3,5,Intermediaries,Above 9 Years,High,More than 13,Status
639,Houston,Men,Never Married,Mature Working,Teritary,Training and Development Executive,5,US$ 13676 to US$ 19145,Upto 5%,Family,5,8,2,Family Reference,7 Years to 9 Years,Low,7 to 9,Inflation
640,Houston,Women,Married,Children,Teritary,Advertising and Promotion Executive,2,US$ 2735,Upto 5%,Workers,3,7,6,Friends Reference,1 Year to 3 Years,Medium,5 to 6,Status
641,San Francisco,Women,Never Married,Children,Teritary,Advertising and Promotion Executive,5,US$ 24616 to US$ 30085,21% to 25%,Friends,8,6,1,Family Reference,Above 9 Years,Low,10 to 12 ,Tax
642,Houston,Women,Married,Elderly,Middle,Marketing and Sales Executive,2,US$ 8206 to US$ 13675,16% to 20%,Magazine,10,1,6,Intermediaries,Above 9 Years,High,More than 13,Tax
643,Memphis,Men,Married,Children,Primary,Computer and Information System Executive,3,US$ 13676 to US$ 19145,Don't Want to Reveal,Workers,6,6,4,Friends Reference,7 Years to 9 Years,Medium,10 to 12 ,Tax
644,Houston,Women,Never Married,Children,Middle,Computer and Information System Executive,3,US$ 13676 to US$ 19145,16% to 20%,Workers,2,1,6,Others,1 Year to 3 Years,High,5 to 6,Return
645,Houston,Men,Never Married,Prime Working,Middle,Marketing and Sales Executive,5,Above US$ 30086,Don't Want to Reveal,Magazine,6,7,6,Family Reference,7 Years to 9 Years,High,5 to 6,Fun and Exitement
646,New York,Women,Married,Children,Uneducated,Marketing and Sales Executive,1,US$ 24616 to US$ 30085,Above 26%,Magazine,4,6,5,Intermediaries,4 Years to 6 Years,Medium,7 to 9,Fun and Exitement
647,Houston,Women,Never Married,Early Working,Teritary,Computer and Information System Executive,4,US$ 8206 to US$ 13675,Above 26%,Friends,10,7,3,Institutions,Above 9 Years,High,1 to 4,Tax
648,New York,Men,Married,Elderly,Middle,Computer and Information System Executive,5,US$ 13676 to US$ 19145,21% to 25%,Flash Board,6,9,3,Family Reference,Above 9 Years,Medium,Negative Return,Others
649,New York,Men,Never Married,Prime Working,Secondary,Advertising and Promotion Executive,5,US$ 2736 to US$ 8205,11% to 15%,Friends,8,9,6,Friends Reference,Less Than 1 Year,Low,10 to 12 ,Others
650,San Francisco,Men,Never Married,Children,Secondary,Advertising and Promotion Executive,3,US$ 2736 to US$ 8205,Upto 5%,Family,9,4,1,Institutions,7 Years to 9 Years,Medium,7 to 9,Status
651,Houston,Women,Married,Prime Working,Teritary,Marketing and Sales Executive,1,US$ 13676 to US$ 19145,6% to 10%,Family,6,1,2,Workers Reference,7 Years to 9 Years,Medium,Negative Return,Inflation
652,Memphis,Women,Married,Mature Working,Middle,Computer and Information System Executive,4,US$ 13676 to US$ 19145,Don't Want to Reveal,Workers,8,3,1,Social Media,Above 9 Years,High,10 to 12 ,Others
653,San Francisco,Women,Never Married,Prime Working,Secondary,Training and Development Executive,5,US$ 24616 to US$ 30085,11% to 15%,Others,10,3,2,Social Media,4 Years to 6 Years,Medium,1 to 4,Return
654,Memphis,Women,Never Married,Children,Middle,Advertising and Promotion Executive,3,US$ 2736 to US$ 8205,Don't Want to Reveal,Others,9,2,5,Friends Reference,Above 9 Years,Low,10 to 12 ,Status
655,Memphis,Women,Never Married,Elderly,Secondary,Marketing and Sales Executive,3,US$ 2736 to US$ 8205,Above 26%,Others,9,7,6,Social Media,Less Than 1 Year,Low,7 to 9,Tax
656,Houston,Women,Never Married,Prime Working,Secondary,Top Executives,3,US$ 2735,11% to 15%,Friends,9,5,1,Friends Reference,Above 9 Years,Low,5 to 6,Inflation
657,Memphis,Men,Married,Mature Working,Secondary,Marketing and Sales Executive,1,US$ 8206 to US$ 13675,Upto 5%,Television,9,3,1,Family Reference,1 Year to 3 Years,High,More than 13,Return
658,New York,Women,Never Married,Elderly,Middle,Top Executives,5,US$ 24616 to US$ 30085,11% to 15%,Workers,9,9,6,Social Media,7 Years to 9 Years,High,10 to 12 ,Return
659,San Francisco,Women,Married,Mature Working,Teritary,Marketing and Sales Executive,2,US$ 8206 to US$ 13675,6% to 10%,Others,3,5,2,Intermediaries,Above 9 Years,Medium,More than 13,Status
660,Houston,Men,Married,Prime Working,Uneducated,Computer and Information System Executive,1,US$ 13676 to US$ 19145,Upto 5%,Flash Board,10,5,6,Workers Reference,Above 9 Years,Low,7 to 9,Status
661,Seattle,Men,Married,Prime Working,Middle,Advertising and Promotion Executive,3,US$ 2736 to US$ 8205,Don't Want to Reveal,Workers,9,3,6,Others,4 Years to 6 Years,High,7 to 9,Status
662,San Francisco,Men,Married,Children,Uneducated,Top Executives,4,US$ 8206 to US$ 13675,11% to 15%,Flash Board,8,7,6,Workers Reference,1 Year to 3 Years,Low,Negative Return,Inflation
663,Seattle,Women,Never Married,Prime Working,Primary,Training and Development Executive,1,US$ 24616 to US$ 30085,Upto 5%,Flash Board,6,2,3,Intermediaries,Above 9 Years,Medium,Negative Return,Tax
664,San Francisco,Men,Never Married,Early Working,Middle,Advertising and Promotion Executive,1,US$ 8206 to US$ 13675,6% to 10%,Workers,4,1,1,Family Reference,Above 9 Years,High,More than 13,Return
665,Memphis,Women,Never Married,Elderly,Primary,Marketing and Sales Executive,2,US$ 13676 to US$ 19145,Don't Want to Reveal,Family,8,10,4,Institutions,4 Years to 6 Years,High,More than 13,Others
666,Seattle,Men,Married,Elderly,Teritary,Marketing and Sales Executive,1,US$ 13676 to US$ 19145,Above 26%,Television,7,2,1,Friends Reference,Less Than 1 Year,Low,1 to 4,Status
667,Seattle,Men,Married,Elderly,Uneducated,Marketing and Sales Executive,2,US$ 13676 to US$ 19145,21% to 25%,Magazine,3,7,3,Others,1 Year to 3 Years,High,1 to 4,Inflation
668,San Francisco,Men,Married,Children,Teritary,Top Executives,3,US$ 2735,Upto 5%,Flash Board,8,9,2,Social Media,1 Year to 3 Years,Medium,10 to 12 ,Status
669,San Francisco,Men,Married,Elderly,Primary,Top Executives,3,US$ 2735,6% to 10%,Workers,10,8,2,Intermediaries,Above 9 Years,High,1 to 4,Status
670,San Francisco,Women,Married,Prime Working,Primary,Computer and Information System Executive,4,Above US$ 30086,6% to 10%,Others,1,9,6,Family Reference,7 Years to 9 Years,High,1 to 4,Tax
671,New York,Women,Never Married,Early Working,Secondary,Advertising and Promotion Executive,1,Above US$ 30086,Above 26%,Friends,8,4,5,Institutions,7 Years to 9 Years,Low,5 to 6,Inflation
672,Memphis,Men,Never Married,Mature Working,Secondary,Top Executives,3,Above US$ 30086,6% to 10%,Family,6,9,1,Others,7 Years to 9 Years,High,1 to 4,Status
673,Houston,Men,Never Married,Elderly,Secondary,Computer and Information System Executive,4,US$ 2735,11% to 15%,Family,5,7,1,Institutions,Above 9 Years,High,More than 13,Inflation
674,Memphis,Men,Never Married,Prime Working,Uneducated,Computer and Information System Executive,1,US$ 13676 to US$ 19145,6% to 10%,Friends,9,6,2,Intermediaries,Above 9 Years,High,7 to 9,Fun and Exitement
675,Memphis,Men,Never Married,Prime Working,Secondary,Advertising and Promotion Executive,4,US$ 8206 to US$ 13675,11% to 15%,Television,9,6,5,Intermediaries,4 Years to 6 Years,Low,10 to 12 ,Return
676,Houston,Women,Married,Mature Working,Middle,Computer and Information System Executive,2,US$ 24616 to US$ 30085,21% to 25%,Television,7,1,5,Social Media,Above 9 Years,High,Negative Return,Status
677,San Francisco,Women,Married,Mature Working,Teritary,Marketing and Sales Executive,2,US$ 2736 to US$ 8205,11% to 15%,Friends,2,6,2,Workers Reference,4 Years to 6 Years,Medium,5 to 6,Return
678,New York,Men,Never Married,Elderly,Middle,Computer and Information System Executive,2,US$ 8206 to US$ 13675,21% to 25%,Family,6,5,4,Family Reference,7 Years to 9 Years,High,7 to 9,Status
679,San Francisco,Women,Married,Mature Working,Secondary,Top Executives,4,US$ 8206 to US$ 13675,Above 26%,Magazine,2,5,2,Workers Reference,Above 9 Years,Medium,1 to 4,Tax
680,Seattle,Women,Never Married,Early Working,Uneducated,Computer and Information System Executive,2,US$ 19146 to US$ 24615,6% to 10%,Flash Board,1,8,5,Workers Reference,7 Years to 9 Years,Low,1 to 4,Return
681,Memphis,Men,Married,Children,Teritary,Top Executives,2,Above US$ 30086,Above 26%,Friends,5,3,2,Institutions,4 Years to 6 Years,High,Negative Return,Others
682,San Francisco,Men,Never Married,Early Working,Middle,Computer and Information System Executive,1,US$ 2735,Don't Want to Reveal,Magazine,3,8,4,Intermediaries,7 Years to 9 Years,Low,10 to 12 ,Inflation
683,San Francisco,Women,Never Married,Early Working,Teritary,Top Executives,4,US$ 13676 to US$ 19145,Upto 5%,Magazine,4,7,4,Intermediaries,4 Years to 6 Years,Medium,5 to 6,Tax
684,Houston,Men,Married,Elderly,Primary,Top Executives,2,Above US$ 30086,6% to 10%,Magazine,10,9,5,Institutions,7 Years to 9 Years,Medium,7 to 9,Return
685,Seattle,Men,Never Married,Early Working,Primary,Computer and Information System Executive,5,US$ 8206 to US$ 13675,16% to 20%,Friends,2,7,1,Others,4 Years to 6 Years,High,1 to 4,Fun and Exitement
686,Memphis,Women,Married,Elderly,Middle,Computer and Information System Executive,5,Above US$ 30086,21% to 25%,Magazine,10,10,2,Institutions,Less Than 1 Year,Low,10 to 12 ,Others
687,New York,Men,Married,Mature Working,Primary,Computer and Information System Executive,2,US$ 2735,11% to 15%,Others,7,7,1,Family Reference,Above 9 Years,High,1 to 4,Return
688,New York,Men,Married,Prime Working,Uneducated,Advertising and Promotion Executive,4,US$ 2735,Don't Want to Reveal,Workers,4,8,2,Friends Reference,7 Years to 9 Years,Medium,10 to 12 ,Fun and Exitement
689,Seattle,Women,Never Married,Prime Working,Uneducated,Marketing and Sales Executive,5,Above US$ 30086,Upto 5%,Others,3,1,3,Institutions,Above 9 Years,High,1 to 4,Inflation
690,Houston,Women,Married,Mature Working,Middle,Advertising and Promotion Executive,5,US$ 19146 to US$ 24615,16% to 20%,Others,8,1,1,Friends Reference,7 Years to 9 Years,Medium,10 to 12 ,Inflation
691,San Francisco,Women,Married,Mature Working,Middle,Marketing and Sales Executive,3,US$ 24616 to US$ 30085,Above 26%,Flash Board,5,4,4,Workers Reference,1 Year to 3 Years,Low,10 to 12 ,Inflation
692,Houston,Women,Never Married,Mature Working,Uneducated,Top Executives,2,US$ 19146 to US$ 24615,Upto 5%,Magazine,6,8,6,Others,4 Years to 6 Years,Low,More than 13,Others
693,Seattle,Men,Never Married,Prime Working,Secondary,Top Executives,3,US$ 2735,Above 26%,Workers,5,10,4,Others,1 Year to 3 Years,Low,1 to 4,Others
694,Memphis,Women,Married,Mature Working,Primary,Top Executives,5,US$ 24616 to US$ 30085,6% to 10%,Workers,3,9,5,Social Media,1 Year to 3 Years,High,10 to 12 ,Return
695,New York,Men,Never Married,Elderly,Middle,Marketing and Sales Executive,4,US$ 24616 to US$ 30085,Upto 5%,Friends,1,1,3,Workers Reference,4 Years to 6 Years,Medium,10 to 12 ,Status
696,Seattle,Women,Married,Elderly,Primary,Advertising and Promotion Executive,4,Above US$ 30086,Upto 5%,Family,5,9,3,Institutions,Above 9 Years,High,7 to 9,Inflation
697,San Francisco,Women,Married,Early Working,Uneducated,Computer and Information System Executive,5,US$ 19146 to US$ 24615,Don't Want to Reveal,Magazine,3,7,3,Friends Reference,Above 9 Years,Low,10 to 12 ,Inflation
698,Memphis,Women,Never Married,Mature Working,Secondary,Training and Development Executive,3,US$ 2736 to US$ 8205,11% to 15%,Television,6,3,1,Others,4 Years to 6 Years,High,More than 13,Inflation
699,Seattle,Men,Married,Children,Middle,Top Executives,3,US$ 19146 to US$ 24615,6% to 10%,Friends,3,9,6,Others,Less Than 1 Year,Medium,7 to 9,Others
700,Memphis,Men,Never Married,Prime Working,Middle,Computer and Information System Executive,1,US$ 13676 to US$ 19145,Above 26%,Flash Board,3,8,2,Friends Reference,7 Years to 9 Years,Low,10 to 12 ,Status
701,Seattle,Women,Never Married,Early Working,Secondary,Training and Development Executive,1,Above US$ 30086,21% to 25%,Television,5,10,6,Others,1 Year to 3 Years,Medium,7 to 9,Return
702,Seattle,Men,Married,Children,Teritary,Top Executives,3,US$ 13676 to US$ 19145,Above 26%,Television,7,6,2,Workers Reference,Above 9 Years,Medium,More than 13,Others
703,San Francisco,Women,Never Married,Children,Primary,Top Executives,3,US$ 19146 to US$ 24615,Above 26%,Family,8,7,6,Workers Reference,7 Years to 9 Years,High,1 to 4,Fun and Exitement
704,Houston,Men,Married,Children,Teritary,Top Executives,1,Above US$ 30086,Upto 5%,Workers,8,8,4,Social Media,1 Year to 3 Years,Low,1 to 4,Fun and Exitement
705,New York,Men,Married,Early Working,Teritary,Top Executives,3,US$ 13676 to US$ 19145,Upto 5%,Family,2,8,6,Family Reference,Above 9 Years,Low,5 to 6,Others
706,New York,Men,Never Married,Prime Working,Primary,Marketing and Sales Executive,5,US$ 2736 to US$ 8205,11% to 15%,Family,4,2,3,Friends Reference,7 Years to 9 Years,Low,More than 13,Inflation
707,Houston,Women,Married,Prime Working,Uneducated,Training and Development Executive,2,US$ 2736 to US$ 8205,Above 26%,Workers,10,10,3,Friends Reference,Less Than 1 Year,Medium,More than 13,Status
708,New York,Women,Married,Early Working,Teritary,Top Executives,5,Above US$ 30086,6% to 10%,Television,5,4,1,Intermediaries,4 Years to 6 Years,Low,Negative Return,Status
709,Memphis,Men,Never Married,Children,Primary,Marketing and Sales Executive,2,US$ 24616 to US$ 30085,6% to 10%,Television,4,2,2,Others,7 Years to 9 Years,High,Negative Return,Return
710,San Francisco,Men,Married,Mature Working,Middle,Training and Development Executive,2,Above US$ 30086,Above 26%,Television,3,8,6,Intermediaries,4 Years to 6 Years,Medium,7 to 9,Others
711,Memphis,Men,Married,Elderly,Primary,Computer and Information System Executive,2,US$ 24616 to US$ 30085,11% to 15%,Magazine,1,2,3,Family Reference,1 Year to 3 Years,High,7 to 9,Return
712,Houston,Men,Married,Mature Working,Uneducated,Advertising and Promotion Executive,3,US$ 19146 to US$ 24615,Don't Want to Reveal,Television,1,8,2,Others,1 Year to 3 Years,High,Negative Return,Tax
713,Seattle,Women,Married,Children,Primary,Top Executives,4,US$ 19146 to US$ 24615,6% to 10%,Friends,2,1,1,Friends Reference,7 Years to 9 Years,High,1 to 4,Status
714,Memphis,Women,Never Married,Early Working,Middle,Top Executives,5,US$ 24616 to US$ 30085,Above 26%,Friends,6,4,4,Family Reference,7 Years to 9 Years,High,Negative Return,Others
715,Seattle,Women,Married,Mature Working,Secondary,Computer and Information System Executive,5,US$ 24616 to US$ 30085,6% to 10%,Magazine,9,7,6,Workers Reference,Less Than 1 Year,Medium,5 to 6,Fun and Exitement
716,Memphis,Women,Married,Mature Working,Teritary,Computer and Information System Executive,1,Above US$ 30086,Above 26%,Family,10,2,3,Institutions,4 Years to 6 Years,Low,7 to 9,Others
717,San Francisco,Women,Married,Early Working,Primary,Top Executives,3,US$ 8206 to US$ 13675,11% to 15%,Television,2,7,5,Intermediaries,7 Years to 9 Years,Medium,Negative Return,Tax
718,Seattle,Women,Never Married,Prime Working,Uneducated,Training and Development Executive,2,US$ 24616 to US$ 30085,Above 26%,Magazine,7,5,5,Institutions,4 Years to 6 Years,Medium,Negative Return,Inflation
719,Memphis,Men,Married,Elderly,Middle,Computer and Information System Executive,3,US$ 2735,Upto 5%,Others,6,1,3,Institutions,4 Years to 6 Years,Medium,10 to 12 ,Tax
720,Houston,Women,Married,Mature Working,Primary,Training and Development Executive,5,US$ 13676 to US$ 19145,6% to 10%,Others,1,7,6,Intermediaries,Above 9 Years,Medium,1 to 4,Inflation
721,San Francisco,Women,Married,Early Working,Uneducated,Top Executives,4,US$ 2735,Upto 5%,Workers,7,5,3,Family Reference,1 Year to 3 Years,Medium,5 to 6,Fun and Exitement
722,New York,Women,Never Married,Mature Working,Secondary,Advertising and Promotion Executive,2,US$ 13676 to US$ 19145,Don't Want to Reveal,Family,6,1,4,Workers Reference,4 Years to 6 Years,High,7 to 9,Status
723,New York,Women,Never Married,Mature Working,Teritary,Advertising and Promotion Executive,5,US$ 13676 to US$ 19145,Don't Want to Reveal,Magazine,4,2,2,Social Media,4 Years to 6 Years,Low,1 to 4,Others
724,San Francisco,Women,Married,Elderly,Middle,Training and Development Executive,1,US$ 2735,6% to 10%,Others,8,9,6,Social Media,7 Years to 9 Years,Medium,More than 13,Return
